Registros com >40h semanais ordenados por workclass:

?               | Bachelors       | 45h/semana
?               | Assoc-voc       | 50h/semana
?               | Bachelors       | 55h/semana
?               | HS-grad         | 70h/semana
?               | Masters         | 60h/semana
?               | Bachelors       | 80h/semana
?               | Some-college    | 48h/semana
?               | Masters         | 50h/semana
?               | Bachelors       | 80h/semana
?               | HS-grad         | 50h/semana
?               | 10th            | 99h/semana
?               | Bachelors       | 60h/semana
?               | 12th            | 53h/semana
?               | Assoc-voc       | 48h/semana
?               | Assoc-voc       | 50h/semana
?               | Some-college    | 50h/semana
?               | Bachelors       | 50h/semana
?               | 7th-8th         | 99h/semana
?               | Bachelors       | 70h/semana
?               | 11th            | 48h/semana
?               | 5th-6th         | 84h/semana
?               | Some-college    | 56h/semana
?               | 9th             | 50h/semana
?               | Bachelors       | 80h/semana
?               | HS-grad         | 70h/semana
?               | Some-college    | 50h/semana
?               | Bachelors       | 45h/semana
?               | HS-grad         | 42h/semana
?               | Masters         | 55h/semana
?               | HS-grad         | 43h/semana
?               | HS-grad         | 41h/semana
?               | 11th            | 48h/semana
?               | HS-grad         | 45h/semana
?               | Some-college    | 45h/semana
?               | Some-college    | 45h/semana
?               | 12th            | 52h/semana
?               | Bachelors       | 50h/semana
?               | HS-grad         | 41h/semana
?               | Bachelors       | 60h/semana
?               | Bachelors       | 45h/semana
?               | Assoc-voc       | 50h/semana
?               | HS-grad         | 45h/semana
?               | Masters         | 60h/semana
?               | Some-college    | 60h/semana
?               | 11th            | 48h/semana
?               | Bachelors       | 80h/semana
?               | Bachelors       | 55h/semana
?               | 11th            | 50h/semana
?               | 5th-6th         | 48h/semana
?               | HS-grad         | 60h/semana
?               | Some-college    | 60h/semana
?               | 10th            | 50h/semana
?               | Bachelors       | 50h/semana
?               | Masters         | 50h/semana
?               | Assoc-acdm      | 80h/semana
?               | HS-grad         | 50h/semana
?               | Bachelors       | 50h/semana
?               | Masters         | 50h/semana
?               | HS-grad         | 45h/semana
?               | Doctorate       | 50h/semana
?               | Prof-school     | 45h/semana
Federal-gov     | Masters         | 50h/semana
Federal-gov     | Bachelors       | 48h/semana
Federal-gov     | Masters         | 50h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Masters         | 60h/semana
Federal-gov     | HS-grad         | 48h/semana
Federal-gov     | Assoc-voc       | 42h/semana
Federal-gov     | HS-grad         | 43h/semana
Federal-gov     | HS-grad         | 46h/semana
Federal-gov     | Doctorate       | 52h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | HS-grad         | 80h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | Some-college    | 60h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Masters         | 60h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Some-college    | 55h/semana
Federal-gov     | HS-grad         | 45h/semana
Federal-gov     | Bachelors       | 66h/semana
Federal-gov     | Bachelors       | 48h/semana
Federal-gov     | Masters         | 50h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Assoc-voc       | 48h/semana
Federal-gov     | HS-grad         | 42h/semana
Federal-gov     | HS-grad         | 48h/semana
Federal-gov     | Assoc-acdm      | 60h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Bachelors       | 48h/semana
Federal-gov     | Assoc-voc       | 50h/semana
Federal-gov     | Bachelors       | 48h/semana
Federal-gov     | HS-grad         | 45h/semana
Federal-gov     | HS-grad         | 48h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Masters         | 45h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Some-college    | 45h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | Doctorate       | 72h/semana
Federal-gov     | Bachelors       | 48h/semana
Federal-gov     | Bachelors       | 52h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Assoc-acdm      | 60h/semana
Federal-gov     | Doctorate       | 60h/semana
Federal-gov     | HS-grad         | 57h/semana
Federal-gov     | Some-college    | 60h/semana
Federal-gov     | Doctorate       | 60h/semana
Federal-gov     | Doctorate       | 60h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | HS-grad         | 52h/semana
Federal-gov     | Some-college    | 56h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Masters         | 60h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | HS-grad         | 60h/semana
Federal-gov     | HS-grad         | 45h/semana
Federal-gov     | HS-grad         | 45h/semana
Federal-gov     | Prof-school     | 45h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Prof-school     | 55h/semana
Federal-gov     | Prof-school     | 60h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Doctorate       | 50h/semana
Federal-gov     | Masters         | 50h/semana
Federal-gov     | Some-college    | 55h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Some-college    | 60h/semana
Federal-gov     | Some-college    | 48h/semana
Federal-gov     | Masters         | 60h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | Prof-school     | 55h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Masters         | 56h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Some-college    | 70h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | HS-grad         | 70h/semana
Federal-gov     | Some-college    | 45h/semana
Federal-gov     | Prof-school     | 57h/semana
Federal-gov     | Assoc-acdm      | 45h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Masters         | 60h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | HS-grad         | 80h/semana
Federal-gov     | Assoc-acdm      | 60h/semana
Federal-gov     | Bachelors       | 55h/semana
Federal-gov     | Assoc-voc       | 45h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Some-college    | 72h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Prof-school     | 55h/semana
Federal-gov     | Some-college    | 45h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Assoc-acdm      | 50h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | Some-college    | 60h/semana
Federal-gov     | 10th            | 56h/semana
Federal-gov     | Some-college    | 42h/semana
Federal-gov     | Assoc-voc       | 50h/semana
Federal-gov     | Bachelors       | 43h/semana
Federal-gov     | Bachelors       | 48h/semana
Federal-gov     | Masters         | 55h/semana
Federal-gov     | HS-grad         | 45h/semana
Federal-gov     | Some-college    | 48h/semana
Federal-gov     | Assoc-acdm      | 42h/semana
Federal-gov     | HS-grad         | 80h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | Assoc-voc       | 65h/semana
Federal-gov     | Some-college    | 42h/semana
Federal-gov     | Some-college    | 52h/semana
Federal-gov     | Some-college    | 70h/semana
Federal-gov     | Some-college    | 45h/semana
Federal-gov     | HS-grad         | 48h/semana
Federal-gov     | Bachelors       | 56h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | HS-grad         | 43h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Prof-school     | 55h/semana
Federal-gov     | Prof-school     | 55h/semana
Federal-gov     | Doctorate       | 99h/semana
Federal-gov     | HS-grad         | 70h/semana
Federal-gov     | Masters         | 60h/semana
Federal-gov     | Bachelors       | 48h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Bachelors       | 42h/semana
Federal-gov     | Bachelors       | 48h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Assoc-acdm      | 45h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Some-college    | 65h/semana
Federal-gov     | HS-grad         | 44h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | HS-grad         | 48h/semana
Federal-gov     | Some-college    | 72h/semana
Federal-gov     | Masters         | 50h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Bachelors       | 54h/semana
Federal-gov     | HS-grad         | 70h/semana
Federal-gov     | Some-college    | 60h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Prof-school     | 65h/semana
Federal-gov     | Some-college    | 44h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Bachelors       | 72h/semana
Federal-gov     | Some-college    | 48h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Assoc-voc       | 60h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | Masters         | 60h/semana
Federal-gov     | Doctorate       | 50h/semana
Federal-gov     | Some-college    | 56h/semana
Federal-gov     | Bachelors       | 44h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Bachelors       | 60h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Bachelors       | 55h/semana
Federal-gov     | Some-college    | 50h/semana
Federal-gov     | Some-college    | 48h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Masters         | 50h/semana
Federal-gov     | HS-grad         | 58h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | Doctorate       | 70h/semana
Federal-gov     | Bachelors       | 45h/semana
Federal-gov     | Bachelors       | 55h/semana
Federal-gov     | Bachelors       | 58h/semana
Federal-gov     | HS-grad         | 52h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | Bachelors       | 53h/semana
Federal-gov     | Some-college    | 45h/semana
Federal-gov     | Bachelors       | 50h/semana
Federal-gov     | Some-college    | 43h/semana
Federal-gov     | Bachelors       | 65h/semana
Federal-gov     | Prof-school     | 55h/semana
Federal-gov     | Prof-school     | 80h/semana
Federal-gov     | Bachelors       | 42h/semana
Federal-gov     | HS-grad         | 50h/semana
Federal-gov     | Assoc-acdm      | 50h/semana
Federal-gov     | Prof-school     | 50h/semana
Federal-gov     | Bachelors       | 60h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | Masters         | 43h/semana
Local-gov       | Masters         | 72h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | HS-grad         | 50h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Bachelors       | 52h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 48h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | Masters         | 72h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 46h/semana
Local-gov       | Assoc-acdm      | 45h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Assoc-voc       | 55h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 57h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 43h/semana
Local-gov       | Assoc-voc       | 53h/semana
Local-gov       | Bachelors       | 48h/semana
Local-gov       | Assoc-voc       | 60h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 42h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | HS-grad         | 56h/semana
Local-gov       | Masters         | 43h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Assoc-voc       | 43h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Prof-school     | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Assoc-acdm      | 55h/semana
Local-gov       | HS-grad         | 64h/semana
Local-gov       | Bachelors       | 41h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | HS-grad         | 57h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 72h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Bachelors       | 52h/semana
Local-gov       | Some-college    | 99h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Prof-school     | 70h/semana
Local-gov       | Bachelors       | 54h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Bachelors       | 72h/semana
Local-gov       | Masters         | 70h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | HS-grad         | 56h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Some-college    | 65h/semana
Local-gov       | Some-college    | 60h/semana
Local-gov       | HS-grad         | 52h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Some-college    | 42h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Assoc-acdm      | 49h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | 10th            | 45h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | HS-grad         | 41h/semana
Local-gov       | Bachelors       | 43h/semana
Local-gov       | Assoc-voc       | 44h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | HS-grad         | 80h/semana
Local-gov       | Some-college    | 44h/semana
Local-gov       | Assoc-acdm      | 52h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | Assoc-acdm      | 45h/semana
Local-gov       | Assoc-acdm      | 56h/semana
Local-gov       | Some-college    | 99h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | Bachelors       | 44h/semana
Local-gov       | HS-grad         | 48h/semana
Local-gov       | HS-grad         | 50h/semana
Local-gov       | Some-college    | 60h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Bachelors       | 65h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Doctorate       | 45h/semana
Local-gov       | Prof-school     | 55h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Masters         | 52h/semana
Local-gov       | Masters         | 70h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | HS-grad         | 44h/semana
Local-gov       | HS-grad         | 55h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Assoc-acdm      | 48h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | Doctorate       | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Some-college    | 55h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | HS-grad         | 99h/semana
Local-gov       | Assoc-acdm      | 50h/semana
Local-gov       | Assoc-acdm      | 50h/semana
Local-gov       | HS-grad         | 42h/semana
Local-gov       | Assoc-voc       | 56h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Bachelors       | 70h/semana
Local-gov       | Masters         | 47h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Assoc-acdm      | 45h/semana
Local-gov       | Masters         | 43h/semana
Local-gov       | Prof-school     | 45h/semana
Local-gov       | Masters         | 43h/semana
Local-gov       | Assoc-acdm      | 45h/semana
Local-gov       | 12th            | 55h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | Prof-school     | 52h/semana
Local-gov       | Some-college    | 52h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Bachelors       | 48h/semana
Local-gov       | Some-college    | 55h/semana
Local-gov       | Masters         | 48h/semana
Local-gov       | Some-college    | 44h/semana
Local-gov       | Assoc-voc       | 50h/semana
Local-gov       | Masters         | 41h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Assoc-voc       | 50h/semana
Local-gov       | HS-grad         | 48h/semana
Local-gov       | Bachelors       | 48h/semana
Local-gov       | Masters         | 48h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Assoc-acdm      | 56h/semana
Local-gov       | HS-grad         | 62h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | HS-grad         | 70h/semana
Local-gov       | Bachelors       | 65h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | 10th            | 60h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 47h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | Assoc-voc       | 56h/semana
Local-gov       | Assoc-acdm      | 59h/semana
Local-gov       | Bachelors       | 70h/semana
Local-gov       | HS-grad         | 49h/semana
Local-gov       | Assoc-acdm      | 50h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Bachelors       | 46h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | HS-grad         | 56h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | 5th-6th         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Assoc-voc       | 60h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | HS-grad         | 80h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | HS-grad         | 56h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Masters         | 70h/semana
Local-gov       | Assoc-voc       | 56h/semana
Local-gov       | Assoc-acdm      | 60h/semana
Local-gov       | Some-college    | 55h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 70h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | HS-grad         | 50h/semana
Local-gov       | Assoc-voc       | 43h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Masters         | 41h/semana
Local-gov       | Bachelors       | 75h/semana
Local-gov       | Doctorate       | 50h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Some-college    | 61h/semana
Local-gov       | Masters         | 44h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 60h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Assoc-acdm      | 50h/semana
Local-gov       | HS-grad         | 78h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | Bachelors       | 48h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Some-college    | 70h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 43h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | Masters         | 70h/semana
Local-gov       | HS-grad         | 56h/semana
Local-gov       | Bachelors       | 70h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 42h/semana
Local-gov       | 11th            | 45h/semana
Local-gov       | Some-college    | 56h/semana
Local-gov       | Assoc-acdm      | 60h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | HS-grad         | 44h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | HS-grad         | 90h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | 10th            | 45h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | HS-grad         | 55h/semana
Local-gov       | Masters         | 80h/semana
Local-gov       | Bachelors       | 97h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | Masters         | 43h/semana
Local-gov       | HS-grad         | 55h/semana
Local-gov       | HS-grad         | 50h/semana
Local-gov       | Some-college    | 52h/semana
Local-gov       | Prof-school     | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Assoc-acdm      | 43h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Doctorate       | 43h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Doctorate       | 50h/semana
Local-gov       | Some-college    | 56h/semana
Local-gov       | 10th            | 90h/semana
Local-gov       | Some-college    | 52h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 52h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | 12th            | 44h/semana
Local-gov       | Bachelors       | 50h/semana
